Name,Description,Regular Price,In Stock?,Tags,Images
Fern Labradorite Electroformed Copper Pendant Necklace,Very stunning Labradorite pendant with a copper fern detail! 🌿 The copper has a dark patina for a tarnished look with brightly polished copper shining through. The copper is sealed with an environmentally friendly sealant to maintain appearance.,39,1,"natural_stone,Pendant,Copper,witchy,tarnished,Iridescent,Labradorite,Fern,Bohemian,Electroformed,Electroplated,Leaf,electrochemistry","https://i.etsystatic.com/20733072/r/il/b3e1d9/2505207176/il_fullxfull.2505207176_h598.jpg, https://i.etsystatic.com/20733072/r/il/1bde41/2552878267/il_fullxfull.2552878267_dhfz.jpg,	https://i.etsystatic.com/20733072/r/il/de006f/2552878345/il_fullxfull.2552878345_l9ks.jpg,	https://i.etsystatic.com/20733072/r/il/04f64a/2552878433/il_fullxfull.2552878433_98wd.jpg,	https://i.etsystatic.com/20733072/r/il/32964b/2552878533/il_fullxfull.2552878533_o0h7.jpg"
Palm Leaf Rainbow Labradorite Electroformed Copper Pendant Necklace,Very stunning and vibrant rainbow Labradorite pendant with a copper palm leaf detail! 🌴 The copper has a dark patina for a tarnished look with brightly polished copper shining through. The copper is sealed with an environmentally friendly sealant to maintain appearance.,42,1,"rainbow,Unique_gift,witchy,electrochemistry,palm_leaf,Leaf,Electroplated,Bohemian,Electroformed,Copper,Pendant,Labradorite,Iridescent","https://i.etsystatic.com/20733072/r/il/8d1e71/2505201240/il_fullxfull.2505201240_syul.jpg, https://i.etsystatic.com/20733072/r/il/3eb97b/2505201334/il_fullxfull.2505201334_2767.jpg,	https://i.etsystatic.com/20733072/r/il/d302e0/2505201406/il_fullxfull.2505201406_n3nc.jpg, https://i.etsystatic.com/20733072/r/il/41162e/2505201492/il_fullxfull.2505201492_tamr.jpg,	https://i.etsystatic.com/20733072/r/il/c89d25/2552872533/il_fullxfull.2552872533_8r3q.jpg"
Palm Leaf Labradorite Electroformed Copper Pendant Necklace,Very stunning pink Labradorite pendant with a copper palm leaf detail! 🌴The copper has a dark patina for a tarnished look with brightly polished copper shining through. The copper is sealed with an environmentally friendly sealant to maintain appearance.,42,1,"natural_stone,pink_stone,Leaf,palm_leaf,witchy,electrochemistry,Electroplated,Labradorite,Pendant,Copper,Electroformed,Bohemian,Iridescent","https://i.etsystatic.com/20733072/r/il/2b95a7/2505198566/il_fullxfull.2505198566_cm6f.jpg, https://i.etsystatic.com/20733072/r/il/2c5f11/2505198674/il_fullxfull.2505198674_n81t.jpg,	https://i.etsystatic.com/20733072/r/il/77fef0/2505192648/il_fullxfull.2505192648_ahwp.jpg,	https://i.etsystatic.com/20733072/r/il/2278b5/2505192656/il_fullxfull.2505192656_95qc.jpg,	https://i.etsystatic.com/20733072/r/il/2c1b26/2505192628/il_fullxfull.2505192628_szy3.jpg,	https://i.etsystatic.com/20733072/r/il/fcf981/2552863833/il_fullxfull.2552863833_5zio.jpg,	https://i.etsystatic.com/20733072/r/il/c0afbf/2552863895/il_fullxfull.2552863895_iwtt.jpg,	https://i.etsystatic.com/20733072/r/il/2b6eb2/2505198756/il_fullxfull.2505198756_d6ze.jpg,	https://i.etsystatic.com/20733072/r/il/fcbdf4/2505198870/il_fullxfull.2505198870_9ebz.jpg,	https://i.etsystatic.com/20733072/r/il/4d854a/2552869867/il_fullxfull.2552869867_c09g.jpg"
Rainbow Labradorite Fern Electroformed Copper Pendant Necklace,Very stunning and vibrant rainbow Labradorite pendant with a copper fern detail! 🌿 The copper has a dark patina for a tarnished look with brightly polished copper shining through. The copper is sealed with an environmentally friendly sealant to maintain appearance.,42,1,"rainbow,Fern,witchy,tarnished,natural_stone,Electroformed,Copper,Bohemian,Unique_gift,Pendant,Leaf,Electroplated,Iridescent","https://i.etsystatic.com/20733072/r/il/d30f37/2505186350/il_fullxfull.2505186350_evw9.jpg, https://i.etsystatic.com/20733072/r/il/cbfffa/2505186410/il_fullxfull.2505186410_45ib.jpg,	https://i.etsystatic.com/20733072/r/il/fc1b81/2505186480/il_fullxfull.2505186480_b077.jpg,	https://i.etsystatic.com/20733072/r/il/513d25/2552857461/il_fullxfull.2552857461_ay2r.jpg,	https://i.etsystatic.com/20733072/r/il/df5c5f/2552857563/il_fullxfull.2552857563_1g6o.jpg,	https://i.etsystatic.com/20733072/r/il/519e74/2552857621/il_fullxfull.2552857621_4y4j.jpg"
Fern Labradorite Copper Electroformed Pendant Necklace,Very stunning and vibrant Labradorite pendant with a copper fern detail! 🌿 The copper has a dark patina for a tarnished look with brightly polished copper shining through. The copper is sealed with an environmentally friendly sealant to maintain appearance.,42,1,"unique_gift,Leaf,natural_stone,tarnished,nature,Copper,fern,semi_precious,Labradorite,Pendant,Electroplated,Bohemian,Electroformed","https://i.etsystatic.com/20733072/r/il/9cae5f/2552852155/il_fullxfull.2552852155_30uw.jpg, https://i.etsystatic.com/20733072/r/il/9ddac1/2505181504/il_fullxfull.2505181504_qz7o.jpg,	https://i.etsystatic.com/20733072/r/il/5b86e0/2552852247/il_fullxfull.2552852247_9tyl.jpg,	https://i.etsystatic.com/20733072/r/il/d6d013/2505181594/il_fullxfull.2505181594_1wvm.jpg,	https://i.etsystatic.com/20733072/r/il/204801/2552852505/il_fullxfull.2552852505_q17e.jpg,	https://i.etsystatic.com/20733072/r/il/07f258/2552852595/il_fullxfull.2552852595_8qg7.jpg,	https://i.etsystatic.com/20733072/r/il/1ed5ef/2505181848/il_fullxfull.2505181848_knqp.jpg"
Spiral Design Electroformed Copper Labradorite Pendant Necklace,"🪲This green/blue labradorite pendant has been Electroformed with copper spiral designs that wrap around the natural stone, complimenting the iridescent tones of the labradorite. The copper has a dark patina for an aged look and has been sealed with an environmentally friendly sealant to maintain appearance.",48,1,"Labradorite,moonstone,witchy,witch,iridescent,Spiral,electroformed,boho,bohemian,butterfly_wing,natural,swirl,cloud","https://i.etsystatic.com/20733072/r/il/ff5de4/2799263999/il_fullxfull.2799263999_or0z.jpg, https://i.etsystatic.com/20733072/r/il/f53356/2799264071/il_fullxfull.2799264071_oye3.jpg,	https://i.etsystatic.com/20733072/r/il/872c95/2751568072/il_fullxfull.2751568072_fsei.jpg,	https://i.etsystatic.com/20733072/r/il/367458/2799264123/il_fullxfull.2799264123_7c03.jpg,	https://i.etsystatic.com/20733072/r/il/59aef2/2799264063/il_fullxfull.2799264063_8yro.jpg,	https://i.etsystatic.com/20733072/r/il/48885e/2799264059/il_fullxfull.2799264059_mfv7.jpg,	https://i.etsystatic.com/20733072/r/il/82ab57/2799264109/il_fullxfull.2799264109_pbc1.jpg,	https://i.etsystatic.com/20733072/r/il/a5dfe0/2751567904/il_fullxfull.2751567904_goya.jpg,	https://i.etsystatic.com/20733072/r/il/7d798b/2799264145/il_fullxfull.2799264145_gq85.jpg,	https://i.etsystatic.com/20733072/r/il/225b6b/2799264085/il_fullxfull.2799264085_pwo7.jpg"
Wire Wrapped Iridescent Labradorite and Amazonite Pendant Necklace,"Handmade wire wrapped pendant featuring a circular iridescent labradorite stone with blue, green, and orange tones. The pendant is finished with a dangling amazonite bead 🌈",45,1,"Labradorite,moonstone,iridescent,amazonite,wire_wrapped,witchy,boho,bohemian,handmade,unique,pendant,unique_gift,witch","https://i.etsystatic.com/20733072/r/il/6f1c79/2751540682/il_fullxfull.2751540682_fwnl.jpg, https://i.etsystatic.com/20733072/r/il/c78680/2799236089/il_fullxfull.2799236089_9wve.jpg,	https://i.etsystatic.com/20733072/r/il/a8395d/2799236227/il_fullxfull.2799236227_e2dz.jpg,	https://i.etsystatic.com/20733072/r/il/fc8637/2799236397/il_fullxfull.2799236397_skjg.jpg,	https://i.etsystatic.com/20733072/r/il/cdeced/2799236551/il_fullxfull.2799236551_g96j.jpg,	https://i.etsystatic.com/20733072/r/il/852b80/2799236703/il_fullxfull.2799236703_ju8s.jpg,	https://i.etsystatic.com/20733072/r/il/d5daef/2751540864/il_fullxfull.2751540864_eaya.jpg,	https://i.etsystatic.com/20733072/r/il/7128cd/2799237187/il_fullxfull.2799237187_ntjy.jpg,	https://i.etsystatic.com/20733072/r/il/7514c7/2799237273/il_fullxfull.2799237273_2vyt.jpg"
Coral Reef Electroformed Labradorite Pendant Necklace,💎 This blue/green iridescent labradorite pendant has a coral reef design sculpted on the front and has been Electroformed with copper. The copper has been finished with a dark patina for an aged look and has been sealed with an environmentally friendly sealant to maintain appearance :),68,1,"Labradorite,moonstone,coral,coral_reef,boho,witchy,mermaid,seawitch,oceanic,underwater,copper,electroformed,iridescent","https://i.etsystatic.com/20733072/r/il/eae27c/2751592808/il_fullxfull.2751592808_cfjd.jpg, https://i.etsystatic.com/20733072/r/il/598254/2799288257/il_fullxfull.2799288257_lpos.jpg,	https://i.etsystatic.com/20733072/r/il/66eda5/2799288239/il_fullxfull.2799288239_jjkp.jpg,	https://i.etsystatic.com/20733072/r/il/c55bf5/2799288169/il_fullxfull.2799288169_ia3o.jpg,	https://i.etsystatic.com/20733072/r/il/35d251/2751592656/il_fullxfull.2751592656_4u31.jpg,	https://i.etsystatic.com/20733072/r/il/5b37a2/2751592836/il_fullxfull.2751592836_ptsd.jpg,	https://i.etsystatic.com/20733072/r/il/bff80e/2751592712/il_fullxfull.2751592712_ist7.jpg,	https://i.etsystatic.com/20733072/r/il/8088bd/2751592786/il_fullxfull.2751592786_l4j7.jpg,	https://i.etsystatic.com/20733072/r/il/e43392/2751592832/il_fullxfull.2751592832_bomj.jpg,	https://i.etsystatic.com/20733072/r/il/71b07e/2799288259/il_fullxfull.2799288259_r28r.jpg"
Pink Rainbow Fossil Ammonite Electroformed Labradorite Pendant Necklace,🌸 🌈 This pink/rainbow iridescent labradorite pendant has an ammonite fossil design sculpted on the front and has been Electroformed with copper. The copper has been finished with a dark patina for an aged look and has been sealed with  an environmentally friendly sealant to maintain appearance :),42,1,"rainbow,pink,Ammonite,labradorite,fossil,bohemian,boho,moonstone,Copper,electroformed,witchy,iridescent,dinosaur","https://i.etsystatic.com/20733072/r/il/692a26/2751518118/il_fullxfull.2751518118_e0kg.jpg, https://i.etsystatic.com/20733072/r/il/068dc5/2751518276/il_fullxfull.2751518276_er33.jpg,	https://i.etsystatic.com/20733072/r/il/62d5fa/2799214925/il_fullxfull.2799214925_sker.jpg,	https://i.etsystatic.com/20733072/r/il/9b246d/2751518426/il_fullxfull.2751518426_afah.jpg,	https://i.etsystatic.com/20733072/r/il/503e8c/2751518524/il_fullxfull.2751518524_6lzl.jpg,	https://i.etsystatic.com/20733072/r/il/a1c7ce/2751518616/il_fullxfull.2751518616_kix1.jpg,	https://i.etsystatic.com/20733072/r/il/457446/2801585045/il_fullxfull.2801585045_owke.jpg		"
Pink Fossil Ammonite Electroformed Labradorite Pendant Necklace,🌸 This pink labradorite pendant has an ammonite fossil design sculpted on the front and has been Electroformed with copper. The copper has been finished with a dark patina for an aged look and has been sealed with  an environmentally friendly sealant to maintain appearance:),40,1,"pink,Labradorite,moonstone,ammonite,fossil,copper,electroformed,Pendant,Iridescent,bohemian,boho,witchy,dinosaur","https://i.etsystatic.com/20733072/r/il/1c793c/2799205641/il_fullxfull.2799205641_94kd.jpg, https://i.etsystatic.com/20733072/r/il/f43681/2799205723/il_fullxfull.2799205723_feey.jpg,	https://i.etsystatic.com/20733072/r/il/9f2883/2751508306/il_fullxfull.2751508306_btwb.jpg,	https://i.etsystatic.com/20733072/r/il/de0860/2751509186/il_fullxfull.2751509186_aqsm.jpg,	https://i.etsystatic.com/20733072/r/il/56d3a6/2799204781/il_fullxfull.2799204781_5c8j.jpg,	https://i.etsystatic.com/20733072/r/il/6b8ecd/2799204999/il_fullxfull.2799204999_cchv.jpg,	https://i.etsystatic.com/20733072/r/il/2e82ec/2751508940/il_fullxfull.2751508940_cjlc.jpg,	https://i.etsystatic.com/20733072/r/il/f6de53/2751509064/il_fullxfull.2751509064_b6is.jpg,	https://i.etsystatic.com/20733072/r/il/c7fed3/2799205205/il_fullxfull.2799205205_cs7h.jpg"
Fern Copper Electroformed Labradorite Pendant Necklace,This labradorite pendant is electroformed with a single fern on the front and tarnished for an antique look. The copper is sealed with an environmentally friendly sealant to maintain appearance.,42,1,"electrochemistry,hippie,witchy,Leaf,Labradorite,Electroplated,Iridescent,Bohemian,Electroformed,Copper,Unique_gift,Pendant,Fern","https://i.etsystatic.com/20733072/r/il/eba176/2514387509/il_fullxfull.2514387509_brtz.jpg, https://i.etsystatic.com/20733072/r/il/6b55b6/2514387625/il_fullxfull.2514387625_ht64.jpg,	https://i.etsystatic.com/20733072/r/il/0f3b80/2466711916/il_fullxfull.2466711916_43xc.jpg,	https://i.etsystatic.com/20733072/r/il/a142cf/2466711948/il_fullxfull.2466711948_prjw.jpg,	https://i.etsystatic.com/20733072/r/il/7baaf4/2466711986/il_fullxfull.2466711986_dcnr.jpg,	https://i.etsystatic.com/20733072/r/il/406b1e/2466712038/il_fullxfull.2466712038_dj2a.jpg	"
Copper Fern Electroformed Labradorite Pendant Necklace,This labradorite pendant is electroformed with a single fern leaf placed upon the natural stone. The copper is tarnished for an antique look and sealed with an environmentally friendly sealant to maintain appearance,44,1,"natural,nature,leaf,fern,electrochemistry,Pendant,Witch,Unique_gift,Copper,Electroformed,Iridescent,Electroplated,Labradorite","https://i.etsystatic.com/20733072/r/il/612778/2514361069/il_fullxfull.2514361069_153z.jpg, https://i.etsystatic.com/20733072/r/il/88181b/2514361537/il_fullxfull.2514361537_i2al.jpg,	https://i.etsystatic.com/20733072/r/il/595401/2514361247/il_fullxfull.2514361247_96ch.jpg,	https://i.etsystatic.com/20733072/r/il/4c4391/2514361835/il_fullxfull.2514361835_brzy.jpg,	https://i.etsystatic.com/20733072/r/il/e80cd1/2466686232/il_fullxfull.2466686232_iikc.jpg,	https://i.etsystatic.com/20733072/r/il/0f5f73/2466686486/il_fullxfull.2466686486_q294.jpg,	https://i.etsystatic.com/20733072/r/il/fb0e12/2466686632/il_fullxfull.2466686632_byxx.jpg	"
